,Problem,,,Constructive Algorithm,,Local Search,,GRASP,,Known Best Solution or Upper Bound
Name,|V| or n,|E| or m,Simple randomized,Simple greedy,Semi greedy(Alpha = 0.5),No. of iterations,Average value,No. of iterations,Best value,
g1,800,19176,9585,10954,11159,85,11382,50,11423,12078
g2,800,19176,9588,11046,11093,86,11324,50,11450,12084
g3,800,19176,9585,11076,11162,96,11411,50,11447,12077
g4,800,19176,9591,11098,11140,93,11398,50,11460,N/A
g5,800,19176,9588,10992,11219,82,11430,50,11469,N/A
g6,800,19176,74,1506,1643,90,1920,50,1980,N/A
g7,800,19176,-71,1355,1489,94,1689,50,1812,N/A
g8,800,19176,-88,1383,1424,104,1689,50,1789,N/A
g9,800,19176,-30,1474,1427,131,1779,50,1878,N/A
g10,800,19176,-76,1428,1369,133,1732,50,1833,N/A
g11,800,1600,16,434,428,13,452,50,468,627
g12,800,1600,-2,418,400,15,430,50,468,621
g13,800,1600,16,432,458,11,478,50,488,645
g14,800,4694,2347,2903,2930,27,2963,50,2990,3187
g15,800,4661,2331,2859,2906,25,2940,50,2975,3169
g16,800,4672,2334,2878,2941,18,2962,50,2976,3172
g17,800,4667,2334,2863,2907,28,2948,50,2966,N/A
g18,800,4694,32,790,708,76,847,50,888,N/A
g19,800,4661,-55,700,678,69,790,50,806,N/A
g20,800,4672,-22,724,679,60,785,50,821,N/A
g21,800,4667,-32,675,686,64,793,50,842,N/A
g22,2000,19990,9993,12335,12669,134,12914,20,12963,14123
g23,2000,19990,9993,12304,12673,120,12896,20,12996,14129
g24,2000,19990,9994,12344,12628,118,12852,20,13017,14131
g25,2000,19990,9994,12426,12702,125,12937,20,12956,N/A
g26,2000,19990,9996,12328,12677,124,12895,20,13005,N/A
g27,2000,19990,-18,2339,2350,212,2802,20,2897,N/A
g28,2000,19990,-52,2302,2389,195,2789,20,2832,N/A
g29,2000,19990,42,2371,2515,159,2885,20,2993,N/A
g30,2000,19990,48,2384,2465,212,2898,20,2943,N/A
g31,2000,19990,-38,2298,2404,167,2809,20,2874,N/A
g32,2000,4000,10,1058,1048,31,1110,50,1158,1560
g33,2000,4000,-15,998,1002,39,1078,50,1124,1537
g34,2000,4000,-24,988,1044,41,1124,50,1120,1541
g35,2000,11778,5888,7222,7353,62,7438,20,7489,8000
g36,2000,11766,5886,7230,7334,56,7405,20,7469,7996
g37,2000,11785,5891,7255,7396,52,7476,20,7481,8009
g38,2000,11779,5887,7261,7382,53,7452,20,7472,N/A
g39,2000,11778,13,1874,1776,165,2066,20,2093,N/A
g40,2000,11766,-49,1858,1788,133,2016,20,2088,N/A
g41,2000,11785,-8,1876,1772,158,2066,20,2035,N/A
g42,2000,11779,61,1876,1830,159,2099,20,2174,N/A
g43,1000,9990,4993,6187,6376,73,6510,50,6512,7027
g44,1000,9990,4995,6173,6290,89,6446,50,6503,7022
g45,1000,9990,4997,6183,6331,76,6475,50,6493,7020
g46,1000,9990,4994,6155,6286,58,6398,50,6482,N/A
g47,1000,9990,4994,6214,6310,89,6462,50,6501,N/A
g48,3000,6000,2998,6000,6000,1,6000,50,6000,6000
g49,3000,6000,3000,6000,6000,1,6000,50,6000,6000
g50,3000,6000,3000,5880,5862,1,5862,50,5870,5988
g51,1000,5909,2951,3633,3683,31,3722,50,3754,N/A
g52,1000,5916,2957,3672,3689,44,3747,50,3757,N/A
g53,1000,5914,2957,3632,3706,30,3745,50,3756,N/A
g54,1000,5916,2956,3619,3704,36,3745,50,3756,N/A
